 TIME                                   	SERIAL                                  	
  +1.1000000000000000E+01	  +4.5658458333333336E+04	
  +1.1250000000000000E+01	  +4.5658468750000000E+04	
  +1.1500000000000000E+01	  +4.5658479166666664E+04	
  +1.1750000000000000E+01	  +4.5658489583333336E+04	
  +1.2000000000000000E+01	  +4.5658500000000000E+04	
  +1.2250000000000000E+01	  +4.5658510416666664E+04	
  +1.2500000000000000E+01	  +4.5658520833333336E+04	
  +1.2750000000000000E+01	  +4.5658531250000000E+04	
  +1.3000000000000000E+01	  +4.5658541666666664E+04	
  +1.3250000000000000E+01	  +4.5658552083333336E+04	
  +1.3500000000000000E+01	  +4.5658562500000000E+04	
  +1.3750000000000000E+01	  +4.5658572916666664E+04	
  +1.4000000000000000E+01	  +4.5658583333333336E+04	
  +1.4250000000000000E+01	  +4.5658593750000000E+04	
  +1.4500000000000000E+01	  +4.5658604166666664E+04	
  +1.4750000000000000E+01	  +4.5658614583333336E+04	
  +1.5000000000000000E+01	  +4.5658625000000000E+04	
  +1.5250000000000000E+01	  +4.5658635416666664E+04	
  +1.5500000000000000E+01	  +4.5658645833333336E+04	
  +1.5750000000000000E+01	  +4.5658656250000000E+04	
  +1.6000000000000000E+01	  +4.5658666666666664E+04	
  +1.6250000000000000E+01	  +4.5658677083333336E+04	
  +1.6500000000000000E+01	  +4.5658687500000000E+04	
  +1.6750000000000000E+01	  +4.5658697916666664E+04	
  +1.7000000000000000E+01	  +4.5658708333333336E+04	
  +1.7250000000000000E+01	  +4.5658718750000000E+04	
  +1.7500000000000000E+01	  +4.5658729166666664E+04	
  +1.7750000000000000E+01	  +4.5658739583333336E+04	
  +1.8000000000000000E+01	  +4.5658750000000000E+04	
  +1.8250000000000000E+01	  +4.5658760416666664E+04	
  +1.8500000000000000E+01	  +4.5658770833333336E+04	
  +1.8750000000000000E+01	  +4.5658781250000000E+04	
  +1.9000000000000000E+01	  +4.5658791666666664E+04	
  +1.9250000000000000E+01	  +4.5658802083333336E+04	
  +1.9500000000000000E+01	  +4.5658812500000000E+04	
  +1.9750000000000000E+01	  +4.5658822916666664E+04	
  +2.0000000000000000E+01	  +4.5658833333333336E+04	
  +2.0250000000000000E+01	  +4.5658843750000000E+04	
  +2.0500000000000000E+01	  +4.5658854166666664E+04	
  +2.0750000000000000E+01	  +4.5658864583333336E+04	
  +2.1000000000000000E+01	  +4.5658875000000000E+04	
